GENE_FROM	MRNA_FROM	CHROM_FROM	START_FROM	STOP_FROM	STRAND_FROM	GENE_TO	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
fgenesh1_pg.C_scaffold_1001227.5	bden_t_22354	bdenJAM81_scaffold_1	3645415	3646264	1						NO_GENES_IN_INTERVAL
fgenesh1_pg.C_scaffold_15000149.5	bden_t_27925	bdenJAM81_scaffold_15	466774	468611	-1	BDEG_07920	BDET_07942	bden_JEL423_supercont1.14	402143	403980	-1	yes
estExt_fgenesh1_pg.C_20486.5	bden_t_34497	bdenJAM81_scaffold_2	1518996	1525312	1	BDEG_03315	BDET_03323	bden_JEL423_supercont1.4	289469	294892	-1	yes
fgenesh1_pg.C_scaffold_2000425.5	bden_t_23038	bdenJAM81_scaffold_2	1308489	1309328	-1	BDEG_03392	BDET_03400	bden_JEL423_supercont1.4	510948	511787	-1	yes
estExt_fgenesh1_pg.C_170105.5	bden_t_36210	bdenJAM81_scaffold_17	351317	353047	1	BDEG_08394	BDET_08419	bden_JEL423_supercont1.16	159491	159884	-1	no
estExt_fgenesh1_pg.C_170105.5	bden_t_36210	bdenJAM81_scaffold_17	351317	353047	1	BDEG_08393	BDET_08418	bden_JEL423_supercont1.16	158362	159425	-1	no
estExt_fgenesh1_pg.C_200008.5	bden_t_36295	bdenJAM81_scaffold_20	29040	31561	1	BDEG_06460	BDET_06478	bden_JEL423_supercont1.10	236301	238585	-1	yes
GP3.021490.5	bden_t_86590	bdenJAM81_scaffold_2	386775	388183	1	BDEG_03717	BDET_03726	bden_JEL423_supercont1.4	1432749	1434277	-1	yes
e_gw1.26.12.1.5	bden_t_15004	bdenJAM81_scaffold_26	5572	6675	-1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_1001236.5	bden_t_22363	bdenJAM81_scaffold_1	3668541	3669797	1	BDEG_01383	BDET_01387	bden_JEL423_supercont1.1	3697639	3698895	-1	yes
GP3.011020.5	bden_t_85543	bdenJAM81_scaffold_1	1051191	1051481	-1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pg.C_10591.5	bden_t_34058	bdenJAM81_scaffold_1	1758863	1761628	1	BDEG_00660	BDET_00664	bden_JEL423_supercont1.1	1753845	1756383	-1	yes
GP3.013250.5	bden_t_85766	bdenJAM81_scaffold_1	1171917	1178543	1	BDEG_00437	BDET_00439	bden_JEL423_supercont1.1	1170753	1176931	-1	yes
estExt_Genewise1Plus.C_20081.5	bden_t_18747	bdenJAM81_scaffold_2	273433	276820	-1	BDEG_03765	BDET_03774	bden_JEL423_supercont1.4	1544104	1547469	-1	yes
estExt_Genewise1Plus.C_160186.5	bden_t_20966	bdenJAM81_scaffold_16	438141	442973	-1	BDEG_08282	BDET_08307	bden_JEL423_supercont1.15	435290	440058	-1	yes
fgenesh1_pg.C_scaffold_4000223.5	bden_t_23984	bdenJAM81_scaffold_4	655394	655792	-1						NO_GENES_IN_INTERVAL
fgenesh1_pg.C_scaffold_19000015.5	bden_t_28533	bdenJAM81_scaffold_19	48331	51523	-1	BDEG_08658	BDET_08683	bden_JEL423_supercont1.20	36675	36992	-1	no
fgenesh1_pg.C_scaffold_19000015.5	bden_t_28533	bdenJAM81_scaffold_19	48331	51523	-1	BDEG_08656	BDET_08681	bden_JEL423_supercont1.20	33380	34346	-1	no
fgenesh1_pg.C_scaffold_19000015.5	bden_t_28533	bdenJAM81_scaffold_19	48331	51523	-1	BDEG_08657	BDET_08682	bden_JEL423_supercont1.20	35233	36200	-1	no
fgenesh1_kg.C_scaffold_172000001.5	bden_t_32583	bdenJAM81_scaffold_172	728	1469	1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_40000001.5	bden_t_28786	bdenJAM81_scaffold_40	227	733	1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pg.C_150177.5	bden_t_36121	bdenJAM81_scaffold_15	567160	570646	1	BDEG_07883	BDET_07904	bden_JEL423_supercont1.14	300780	304239	-1	yes
GP3.087740.5	bden_t_93215	bdenJAM81_scaffold_129	5252	5896	-1						NO_SYNTENIC_ALIGNMENT
GP3.036650.5	bden_t_88106	bdenJAM81_scaffold_5	1262460	1263596	1	BDEG_05474	BDET_05491	bden_JEL423_supercont1.7	1105853	1106997	-1	yes
estExt_fgenesh1_pg.C_40211.5	bden_t_34790	bdenJAM81_scaffold_4	636476	637609	-1	BDEG_02293	BDET_02298	bden_JEL423_supercont1.2	1631761	1632894	-1	yes
GP3.088280.5	bden_t_93269	bdenJAM81_scaffold_171	880	2511	1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pg.C_110097.5	bden_t_35758	bdenJAM81_scaffold_11	310798	313275	-1	BDEG_07607	BDET_07627	bden_JEL423_supercont1.13	281546	283724	-1	yes
estExt_fgenesh1_kg.C_20088.5	bden_t_36652	bdenJAM81_scaffold_2	1319732	1321472	1	BDEG_03388	BDET_03396	bden_JEL423_supercont1.4	499354	500687	-1	yes
e_gw1.13.219.1.5	bden_t_13928	bdenJAM81_scaffold_13	455152	456069	1	BDEG_06581	BDET_06599	bden_JEL423_supercont1.10	559431	563207	-1	yes
gw1.1.924.1.5	bden_t_4674	bdenJAM81_scaffold_1	2014950	2015704	-1	BDEG_00763	BDET_00767	bden_JEL423_supercont1.1	2009781	2010948	-1	yes
fgenesh1_pg.C_scaffold_7000221.5	bden_t_25469	bdenJAM81_scaffold_7	689956	694193	1	BDEG_02787	BDET_02794	bden_JEL423_supercont1.3	683586	686870	-1	yes
estExt_fgenesh1_pg.C_30227.5	bden_t_34588	bdenJAM81_scaffold_3	752458	754956	-1	BDEG_04131	BDET_04142	bden_JEL423_supercont1.5	753399	755678	-1	yes
GP3.067670.5	bden_t_91208	bdenJAM81_scaffold_12	382881	388800	-1	BDEG_07358	BDET_07378	bden_JEL423_supercont1.12	527550	531394	-1	yes
fgenesh1_pg.C_scaffold_4000386.5	bden_t_24147	bdenJAM81_scaffold_4	1152701	1154583	1	BDEG_02100	BDET_02104	bden_JEL423_supercont1.2	1134387	1134980	-1	no
fgenesh1_pg.C_scaffold_4000386.5	bden_t_24147	bdenJAM81_scaffold_4	1152701	1154583	1	BDEG_02101	BDET_02105	bden_JEL423_supercont1.2	1135448	1136019	-1	no
e_gw1.26.4.1.5	bden_t_14993	bdenJAM81_scaffold_26	10751	12043	1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pg.C_60021.5	bden_t_35052	bdenJAM81_scaffold_6	83812	85164	1	BDEG_05037	BDET_05052	bden_JEL423_supercont1.6	1474190	1475445	-1	yes
estExt_fgenesh1_pg.C_40069.5	bden_t_34728	bdenJAM81_scaffold_4	223094	226583	-1	BDEG_02454	BDET_02461	bden_JEL423_supercont1.2	2050305	2053471	-1	no
estExt_fgenesh1_pg.C_40069.5	bden_t_34728	bdenJAM81_scaffold_4	223094	226583	-1	BDEG_02455	BDET_02462	bden_JEL423_supercont1.2	2053752	2056151	-1	no
estExt_Genewise1.C_180131.5	bden_t_18102	bdenJAM81_scaffold_18	453825	456341	-1	BDEG_03174	BDET_03182	bden_JEL423_supercont1.3	1731595	1734136	-1	yes
GP3.086870.5	bden_t_93128	bdenJAM81_scaffold_86	1205	3565	-1						NO_SYNTENIC_ALIGNMENT
e_gw1.4.423.1.5	bden_t_10389	bdenJAM81_scaffold_4	329996	331006	-1	BDEG_02416	BDET_02423	bden_JEL423_supercont1.2	1947644	1948338	-1	no
e_gw1.4.423.1.5	bden_t_10389	bdenJAM81_scaffold_4	329996	331006	-1	BDEG_02417	BDET_02424	bden_JEL423_supercont1.2	1948378	1951220	-1	no
estExt_fgenesh1_pg.C_20452.5	bden_t_34483	bdenJAM81_scaffold_2	1396818	1399216	1	BDEG_03356	BDET_03364	bden_JEL423_supercont1.4	414936	417129	-1	yes
gw1.1.304.1.5	bden_t_1672	bdenJAM81_scaffold_1	4026043	4027659	1	BDEG_01511	BDET_01515	bden_JEL423_supercont1.1	4054464	4056776	-1	yes
e_gw1.9.48.1.5	bden_t_12759	bdenJAM81_scaffold_9	348976	352358	-1	BDEG_05857	BDET_05874	bden_JEL423_supercont1.8	725757	729139	-1	yes
fgenesh1_pg.C_scaffold_12000226.5	bden_t_27277	bdenJAM81_scaffold_12	721859	723511	-1	BDEG_07485	BDET_07505	bden_JEL423_supercont1.12	877008	878361	-1	yes
e_gw1.1.977.1.5	bden_t_8115	bdenJAM81_scaffold_1	1330537	1332095	1	BDEG_00490	BDET_00492	bden_JEL423_supercont1.1	1330664	1334199	-1	yes
estExt_Genewise1.C_70131.5	bden_t_16816	bdenJAM81_scaffold_7	518987	521377	1	BDEG_02719	BDET_02726	bden_JEL423_supercont1.3	512034	514386	-1	no
estExt_Genewise1.C_70131.5	bden_t_16816	bdenJAM81_scaffold_7	518987	521377	1	BDEG_02720	BDET_02727	bden_JEL423_supercont1.3	514321	515626	-1	no
estExt_fgenesh1_pg.C_30397.5	bden_t_34647	bdenJAM81_scaffold_3	1219247	1221298	1	BDEG_04313	BDET_04327	bden_JEL423_supercont1.5	1219936	1221823	-1	yes
fgenesh1_pg.C_scaffold_1000564.5	bden_t_21691	bdenJAM81_scaffold_1	1662616	1663563	-1	BDEG_00615	BDET_00618	bden_JEL423_supercont1.1	1655233	1656180	-1	yes
estExt_Genewise1.C_100256.5	bden_t_17406	bdenJAM81_scaffold_10	845605	848015	1	BDEG_07103	BDET_07122	bden_JEL423_supercont1.11	830435	833069	-1	yes
e_gw1.1.1083.1.5	bden_t_8650	bdenJAM81_scaffold_1	1448402	1448926	-1	BDEG_00538	BDET_00541	bden_JEL423_supercont1.1	1448549	1450438	-1	yes
GP3.021270.5	bden_t_86568	bdenJAM81_scaffold_2	141164	141622	1	BDEG_03825	BDET_03835	bden_JEL423_supercont1.4	1684622	1685008	-1	yes
GP3.039420.5	bden_t_88383	bdenJAM81_scaffold_5	784943	785524	1	BDEG_05280	BDET_05296	bden_JEL423_supercont1.7	628299	629753	-1	yes
GP3.068000.5	bden_t_91241	bdenJAM81_scaffold_12	40741	41694	-1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pg.C_110107.5	bden_t_35761	bdenJAM81_scaffold_11	341646	343104	1	BDEG_07618	BDET_07638	bden_JEL423_supercont1.13	312135	314727	-1	yes
fgenesh1_pg.C_scaffold_1000910.5	bden_t_22037	bdenJAM81_scaffold_1	2684587	2687386	1	BDEG_01008	BDET_01012	bden_JEL423_supercont1.1	2692198	2694997	-1	yes
estExt_Genewise1Plus.C_20475.5	bden_t_18898	bdenJAM81_scaffold_2	1627770	1629566	1	BDEG_03279	BDET_03287	bden_JEL423_supercont1.4	184449	186187	-1	yes
fgenesh1_pg.C_scaffold_23000015.5	bden_t_28718	bdenJAM81_scaffold_23	26535	29247	1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_2000269.5	bden_t_22882	bdenJAM81_scaffold_2	841930	842984	-1	BDEG_03560	BDET_03568	bden_JEL423_supercont1.4	972982	974036	-1	yes
GP3.073630.5	bden_t_91804	bdenJAM81_scaffold_14	62972	65235	1	BDEG_01904	BDET_01908	bden_JEL423_supercont1.2	615940	618203	-1	yes
e_gw1.127.1.1.5	bden_t_15147	bdenJAM81_scaffold_127	615	2165	1						NO_SYNTENIC_ALIGNMENT
GP3.031730.5	bden_t_87614	bdenJAM81_scaffold_4	1531992	1533432	-1	BDEG_01960	BDET_01964	bden_JEL423_supercont1.2	753763	755203	-1	yes
fgenesh1_kg.C_scaffold_17000030.5	bden_t_32489	bdenJAM81_scaffold_17	487335	487877	1	BDEG_08335	BDET_08360	bden_JEL423_supercont1.16	22661	23704	-1	yes
fgenesh1_pg.C_scaffold_2000161.5	bden_t_22774	bdenJAM81_scaffold_2	450642	453520	-1	BDEG_03689	BDET_03698	bden_JEL423_supercont1.4	1365035	1365649	-1	no
fgenesh1_pg.C_scaffold_2000161.5	bden_t_22774	bdenJAM81_scaffold_2	450642	453520	-1	BDEG_03688	BDET_03697	bden_JEL423_supercont1.4	1363347	1364602	-1	no
fgenesh1_pg.C_scaffold_18000023.5	bden_t_28370	bdenJAM81_scaffold_18	77061	79824	1	BDEG_03026	BDET_03034	bden_JEL423_supercont1.3	1349255	1350495	-1	yes
estExt_fgenesh1_pg.C_80352.5	bden_t_35468	bdenJAM81_scaffold_8	1072784	1077194	-1	BDEG_06047	BDET_06064	bden_JEL423_supercont1.9	187064	190910	-1	yes
GP3.075860.5	bden_t_92027	bdenJAM81_scaffold_15	29139	30833	-1	BDEG_08097	BDET_08120	bden_JEL423_supercont1.14	848033	849529	-1	yes
e_gw1.4.316.1.5	bden_t_10426	bdenJAM81_scaffold_4	290014	291742	1	BDEG_02426	BDET_02433	bden_JEL423_supercont1.2	1982532	1986867	-1	yes
fgenesh1_pg.C_scaffold_7000082.5	bden_t_25330	bdenJAM81_scaffold_7	267145	268972	-1	BDEG_02632	BDET_02639	bden_JEL423_supercont1.3	259204	261031	-1	yes
GP3.087870.5	bden_t_93228	bdenJAM81_scaffold_140	2761	3201	1						NO_SYNTENIC_ALIGNMENT
GP3.086550.5	bden_t_93096	bdenJAM81_scaffold_73	8167	9438	-1						NO_SYNTENIC_ALIGNMENT
estExt_fgenesh1_pm.C_170011.5	bden_t_33799	bdenJAM81_scaffold_17	121485	122278	-1	BDEG_08486	BDET_08511	bden_JEL423_supercont1.16	395444	399929	-1	yes
GP3.041730.5	bden_t_88614	bdenJAM81_scaffold_6	832134	836905	1	BDEG_04742	BDET_04756	bden_JEL423_supercont1.6	716143	720919	-1	yes
GP3.076030.5	bden_t_92044	bdenJAM81_scaffold_15	192844	194503	1	BDEG_08024	BDET_08046	bden_JEL423_supercont1.14	676700	677575	-1	yes
fgenesh1_pg.C_scaffold_1000827.5	bden_t_21954	bdenJAM81_scaffold_1	2422533	2424025	-1	BDEG_00912	BDET_00916	bden_JEL423_supercont1.1	2417505	2419686	-1	yes
estExt_fgenesh1_pg.C_50372.5	bden_t_35019	bdenJAM81_scaffold_5	1217587	1220545	-1	BDEG_05459	BDET_05476	bden_JEL423_supercont1.7	1061071	1063934	-1	yes
estExt_Genewise1.C_140039.5	bden_t_17771	bdenJAM81_scaffold_14	127705	130441	1	BDEG_01881	BDET_01885	bden_JEL423_supercont1.2	550412	553123	-1	yes
GP3.037940.5	bden_t_88235	bdenJAM81_scaffold_5	679745	680263	-1	BDEG_05243	BDET_05258	bden_JEL423_supercont1.7	523191	523709	-1	yes
fgenesh1_pg.C_scaffold_12000139.5	bden_t_27190	bdenJAM81_scaffold_12	433407	434414	1	BDEG_07376	BDET_07396	bden_JEL423_supercont1.12	578536	579077	-1	yes
e_gw1.11.96.1.5	bden_t_13461	bdenJAM81_scaffold_11	198380	199983	1	BDEG_07564	BDET_07584	bden_JEL423_supercont1.13	168524	172346	-1	yes
estExt_fgenesh1_kg.C_90006.5	bden_t_37163	bdenJAM81_scaffold_9	222820	223971	-1	BDEG_05899	BDET_05916	bden_JEL423_supercont1.8	859666	863084	-1	yes
estExt_fgenesh1_kg.C_70113.5	bden_t_37087	bdenJAM81_scaffold_7	1222248	1223512	-1	BDEG_02972	BDET_02980	bden_JEL423_supercont1.3	1204207	1204700	-1	yes
GP3.044110.5	bden_t_88852	bdenJAM81_scaffold_6	29176	30219	-1	BDEG_05052	BDET_05067	bden_JEL423_supercont1.6	1529029	1530108	-1	yes
GP3.066030.5	bden_t_91044	bdenJAM81_scaffold_11	762997	763723	1	BDEG_07764	BDET_07785	bden_JEL423_supercont1.13	694531	695186	-1	yes
estExt_fgenesh1_kg.C_10109.5	bden_t_36420	bdenJAM81_scaffold_1	1638402	1639232	-1	BDEG_00604	BDET_00607	bden_JEL423_supercont1.1	1630293	1631854	-1	yes
GP3.059150.5	bden_t_90356	bdenJAM81_scaffold_10	99150	100669	-1	BDEG_06784	BDET_06803	bden_JEL423_supercont1.11	68380	69899	-1	yes
fgenesh1_pg.C_scaffold_18000034.5	bden_t_28381	bdenJAM81_scaffold_18	108455	109930	-1	BDEG_03037	BDET_03045	bden_JEL423_supercont1.3	1374153	1376168	-1	no
fgenesh1_pg.C_scaffold_18000034.5	bden_t_28381	bdenJAM81_scaffold_18	108455	109930	-1	BDEG_03038	BDET_03046	bden_JEL423_supercont1.3	1376167	1377642	-1	no
fgenesh1_pg.C_scaffold_8000093.5	bden_t_25761	bdenJAM81_scaffold_8	312528	313568	1	BDEG_06343	BDET_06360	bden_JEL423_supercont1.9	966993	968033	-1	yes
fgenesh1_pg.C_scaffold_9000313.5	bden_t_26401	bdenJAM81_scaffold_9	1035923	1038425	1	BDEG_05597	BDET_05614	bden_JEL423_supercont1.8	36565	37620	-1	yes
GP3.086420.5	bden_t_93083	bdenJAM81_scaffold_69	2162	3076	1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_22000004.5	bden_t_28694	bdenJAM81_scaffold_22	14605	15174	-1						NO_GENES_IN_INTERVAL
GP3.061470.5	bden_t_90588	bdenJAM81_scaffold_10	328619	330506	-1	BDEG_06881	BDET_06900	bden_JEL423_supercont1.11	302345	302940	-1	no
GP3.061470.5	bden_t_90588	bdenJAM81_scaffold_10	328619	330506	-1	BDEG_06880	BDET_06899	bden_JEL423_supercont1.11	301299	302018	-1	no
GP3.023320.5	bden_t_86773	bdenJAM81_scaffold_3	295782	300176	-1	BDEG_03970	BDET_03980	bden_JEL423_supercont1.5	292441	296349	-1	yes
fgenesh1_pg.C_scaffold_13000215.5	bden_t_27504	bdenJAM81_scaffold_13	625906	628461	-1	BDEG_06515	BDET_06533	bden_JEL423_supercont1.10	387775	390330	-1	yes
GP3.027480.5	bden_t_87189	bdenJAM81_scaffold_3	43314	44243	-1	BDEG_03879	BDET_03889	bden_JEL423_supercont1.5	40042	40983	-1	yes
GP3.016330.5	bden_t_86074	bdenJAM81_scaffold_1	4386449	4386637	1						NO_GENES_IN_INTERVAL
GP3.055210.5	bden_t_89962	bdenJAM81_scaffold_8	1233260	1233532	1						NO_GENES_IN_INTERVAL
GP3.030220.5	bden_t_87463	bdenJAM81_scaffold_4	710600	713170	1	BDEG_02269	BDET_02274	bden_JEL423_supercont1.2	1564980	1567581	-1	yes
GP3.000630.5	bden_t_84504	bdenJAM81_scaffold_1	341536	343664	1	BDEG_00131	BDET_00131	bden_JEL423_supercont1.1	347179	347551	-1	no
GP3.000630.5	bden_t_84504	bdenJAM81_scaffold_1	341536	343664	1	BDEG_00132	BDET_00132	bden_JEL423_supercont1.1	348148	349278	-1	no
GP3.010120.5	bden_t_85453	bdenJAM81_scaffold_1	1854871	1855095	-1						NO_GENES_IN_INTERVAL
GP3.017080.5	bden_t_86149	bdenJAM81_scaffold_2	367815	369008	1	BDEG_03726	BDET_03735	bden_JEL423_supercont1.4	1452000	1453083	-1	yes
GP3.030240.5	bden_t_87465	bdenJAM81_scaffold_4	720857	724328	-1	BDEG_02265	BDET_02270	bden_JEL423_supercont1.2	1553972	1557594	-1	yes
GP3.037450.5	bden_t_88186	bdenJAM81_scaffold_5	1172894	1174240	-1	BDEG_05438	BDET_05455	bden_JEL423_supercont1.7	1016204	1017550	-1	yes
GP3.061330.5	bden_t_90574	bdenJAM81_scaffold_10	451595	456338	-1	BDEG_06942	BDET_06961	bden_JEL423_supercont1.11	435963	440706	-1	yes
GP3.058960.5	bden_t_90337	bdenJAM81_scaffold_9	996534	997961	1	BDEG_05611	BDET_05628	bden_JEL423_supercont1.8	76298	77725	-1	yes
GP3.054330.5	bden_t_89874	bdenJAM81_scaffold_8	326746	329667	1	BDEG_06339	BDET_06356	bden_JEL423_supercont1.9	950896	953808	-1	yes
estExt_fgenesh1_pg.C_11107.5	bden_t_34236	bdenJAM81_scaffold_1	3305223	3306782	-1	BDEG_01252	BDET_01256	bden_JEL423_supercont1.1	3332342	3333497	-1	yes
GP3.087180.5	bden_t_93159	bdenJAM81_scaffold_97	1622	2266	1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_13000009.5	bden_t_27298	bdenJAM81_scaffold_13	45456	46361	-1	BDEG_06748	BDET_06766	bden_JEL423_supercont1.10	968483	969312	-1	yes
GP3.078760.5	bden_t_92317	bdenJAM81_scaffold_17	84222	85013	-1	BDEG_08501	BDET_08526	bden_JEL423_supercont1.16	436264	437051	-1	yes
estExt_fgenesh1_pg.C_80391.5	bden_t_35482	bdenJAM81_scaffold_8	1186911	1192059	1	BDEG_05998	BDET_06015	bden_JEL423_supercont1.9	71829	76978	-1	yes
GP3.078710.5	bden_t_92312	bdenJAM81_scaffold_17	59192	62239	-1	BDEG_08511	BDET_08536	bden_JEL423_supercont1.16	459205	462058	-1	yes
GP3.015740.5	bden_t_86015	bdenJAM81_scaffold_1	3848737	3849285	1	BDEG_01449	BDET_01453	bden_JEL423_supercont1.1	3877382	3877994	-1	yes
estExt_fgenesh1_pg.C_11360.5	bden_t_34312	bdenJAM81_scaffold_1	4097135	4099113	1	BDEG_01545	BDET_01549	bden_JEL423_supercont1.1	4125889	4127804	-1	yes
fgenesh1_pm.C_scaffold_20000003.5	bden_t_30944	bdenJAM81_scaffold_20	23741	27234	1	BDEG_06462	BDET_06480	bden_JEL423_supercont1.10	240101	243986	-1	yes
GP3.063310.5	bden_t_90772	bdenJAM81_scaffold_11	294881	299206	1	BDEG_07600	BDET_07620	bden_JEL423_supercont1.13	265733	269597	-1	yes
GP3.085590.5	bden_t_93000	bdenJAM81_scaffold_40	12853	13107	-1						NO_SYNTENIC_ALIGNMENT
GP3.078800.5	bden_t_92321	bdenJAM81_scaffold_17	109744	110819	-1	BDEG_08491	BDET_08516	bden_JEL423_supercont1.16	410451	411376	-1	yes
fgenesh1_pg.C_scaffold_1001144.5	bden_t_22271	bdenJAM81_scaffold_1	3379905	3381517	1	BDEG_01279	BDET_01283	bden_JEL423_supercont1.1	3406970	3408582	-1	yes
GP3.012510.5	bden_t_85692	bdenJAM81_scaffold_1	413951	415277	1	BDEG_00159	BDET_00160	bden_JEL423_supercont1.1	419593	420327	-1	yes
GP3.037760.5	bden_t_88217	bdenJAM81_scaffold_5	885456	886411	-1	BDEG_05319	BDET_05335	bden_JEL423_supercont1.7	728652	729605	-1	yes
fgenesh1_pg.C_scaffold_5000050.5	bden_t_24334	bdenJAM81_scaffold_5	229324	230937	1	BDEG_05108	BDET_05123	bden_JEL423_supercont1.7	122798	124417	-1	yes
fgenesh1_pg.C_scaffold_1001220.5	bden_t_22347	bdenJAM81_scaffold_1	3625678	3627153	1	BDEG_01368	BDET_01372	bden_JEL423_supercont1.1	3653047	3654522	-1	yes
fgenesh1_pg.C_scaffold_5000105.5	bden_t_24389	bdenJAM81_scaffold_5	426149	428720	1	BDEG_05162	BDET_05177	bden_JEL423_supercont1.7	270211	272535	-1	yes
estExt_Genewise1Plus.C_100008.5	bden_t_20268	bdenJAM81_scaffold_10	81947	83964	-1	BDEG_06778	BDET_06797	bden_JEL423_supercont1.11	51436	52805	-1	no
estExt_Genewise1Plus.C_100008.5	bden_t_20268	bdenJAM81_scaffold_10	81947	83964	-1	BDEG_06777	BDET_06796	bden_JEL423_supercont1.11	49967	51212	-1	no
e_gw1.10.159.1.5	bden_t_12906	bdenJAM81_scaffold_10	603136	604209	-1	BDEG_07003	BDET_07022	bden_JEL423_supercont1.11	587566	588355	-1	yes
GP3.051040.5	bden_t_89545	bdenJAM81_scaffold_8	478221	480182	1	BDEG_06271	BDET_06288	bden_JEL423_supercont1.9	794633	802671	-1	yes
fgenesh1_pg.C_scaffold_13000192.5	bden_t_27481	bdenJAM81_scaffold_13	566160	568045	1	BDEG_06540	BDET_06558	bden_JEL423_supercont1.10	448403	449568	-1	yes
e_gw1.105.2.1.5	bden_t_15126	bdenJAM81_scaffold_105	2046	4070	1						NO_SYNTENIC_ALIGNMENT
GP3.048810.5	bden_t_89322	bdenJAM81_scaffold_7	285434	289624	-1	BDEG_02639	BDET_02646	bden_JEL423_supercont1.3	277410	278585	-1	no
GP3.048810.5	bden_t_89322	bdenJAM81_scaffold_7	285434	289624	-1	BDEG_02640	BDET_02647	bden_JEL423_supercont1.3	278699	281683	-1	no
estExt_fgenesh1_pg.C_190039.5	bden_t_36278	bdenJAM81_scaffold_19	136535	138178	1	BDEG_08579	BDET_08604	bden_JEL423_supercont1.17	158428	159565	-1	yes
estExt_Genewise1Plus.C_20290.5	bden_t_18818	bdenJAM81_scaffold_2	1047474	1049174	1	BDEG_03482	BDET_03490	bden_JEL423_supercont1.4	766828	768491	-1	yes
GP3.039440.5	bden_t_88385	bdenJAM81_scaffold_5	837772	839260	1	BDEG_05295	BDET_05311	bden_JEL423_supercont1.7	681484	682699	-1	yes
gw1.7.54.1.5	bden_t_1232	bdenJAM81_scaffold_7	923627	925455	1	BDEG_02871	BDET_02878	bden_JEL423_supercont1.3	912094	913723	-1	yes
fgenesh1_pg.C_scaffold_9000010.5	bden_t_26098	bdenJAM81_scaffold_9	51544	54291	1	BDEG_05953	BDET_05970	bden_JEL423_supercont1.8	1031016	1033595	-1	yes
estExt_fgenesh1_kg.C_10141.5	bden_t_36449	bdenJAM81_scaffold_1	2037731	2039290	-1	BDEG_00773	BDET_00777	bden_JEL423_supercont1.1	2033113	2034746	-1	yes
e_gw1.6.391.1.5	bden_t_11420	bdenJAM81_scaffold_6	179881	180606	-1	BDEG_05002	BDET_05017	bden_JEL423_supercont1.6	1378533	1379274	-1	yes
fgenesh1_pg.C_scaffold_20000010.5	bden_t_28614	bdenJAM81_scaffold_20	32739	34451	-1	BDEG_06458	BDET_06476	bden_JEL423_supercont1.10	234054	234565	-1	yes
