GLEAN_PASA	MRNA_FROM	CHROM	START_FROM	STOP_FROM	STRAND_FROM	JGI	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
GLEANP3_000110	GLEANP3_000110.t1	bdenJAM81_scaffold_1	91679	93929	1	GP3.000110.5	bden_t_84452	GP3.000110.5	91679	93929	1	yes
GLEANP3_000120	GLEANP3_000120.t1	bdenJAM81_scaffold_1	93970	97196	-1	estExt_fgenesh1_kg.C_10005.5	bden_t_36325	estExt_fgenesh1_kg.C_10005.5	93972	94787	-1	yes
GLEANP3_000130	GLEANP3_000130.t1	bdenJAM81_scaffold_1	97783	99448	-1	GP3.000130.5	bden_t_84454	GP3.000130.5	97783	99448	-1	yes
GLEANP3_000140	GLEANP3_000140.t1	bdenJAM81_scaffold_1	102608	106310	-1	estExt_fgenesh1_pg.C_10032.5	bden_t_33870	estExt_fgenesh1_pg.C_10032.5	102608	106310	-1	yes
GLEANP3_000150	GLEANP3_000150.t1	bdenJAM81_scaffold_1	106407	107520	-1	estExt_fgenesh1_kg.C_10008.5	bden_t_36327	estExt_fgenesh1_kg.C_10008.5	106407	107375	-1	yes
GLEANP3_000160	GLEANP3_000160.t1	bdenJAM81_scaffold_1	110685	111229	-1	e_gw1.1.1435.1.5	bden_t_8403	e_gw1.1.1435.1.5	110830	111102	-1	yes
GLEANP3_000170	GLEANP3_000170.t1	bdenJAM81_scaffold_1	112672	114278	1	GP3.000170.5	bden_t_84458	GP3.000170.5	112672	114278	1	yes
GLEANP3_000180	GLEANP3_000180.t1	bdenJAM81_scaffold_1	124576	125244	-1	fgenesh1_pg.C_scaffold_1000042.5	bden_t_21169	fgenesh1_pg.C_scaffold_1000042.5	124576	125049	-1	yes
GLEANP3_000190	GLEANP3_000190.t1	bdenJAM81_scaffold_1	125370	128518	1	gw1.1.149.1.5	bden_t_831	gw1.1.149.1.5	125370	128426	1	yes
GLEANP3_000200	GLEANP3_000200.t1	bdenJAM81_scaffold_1	129035	130245	1	estExt_Genewise1Plus.C_10057.5	bden_t_18163	estExt_Genewise1Plus.C_10057.5	129035	130033	1	yes
GLEANP3_000210	GLEANP3_000210.t1	bdenJAM81_scaffold_1	132934	137015	-1	GP3.000210.5	bden_t_84462	GP3.000210.5	132934	137015	-1	yes
GLEANP3_000220	GLEANP3_000220.t1	bdenJAM81_scaffold_1	138774	139619	-1	estExt_fgenesh1_kg.C_10010.5	bden_t_36328	estExt_fgenesh1_kg.C_10010.5	138774	139501	-1	yes
GLEANP3_000230	GLEANP3_000230.t1	bdenJAM81_scaffold_1	140277	142881	-1	estExt_Genewise1Plus.C_10062.5	bden_t_18168	estExt_Genewise1Plus.C_10062.5	140277	142630	-1	yes
GLEANP3_000240	GLEANP3_000240.t1	bdenJAM81_scaffold_1	146731	151524	-1	estExt_fgenesh1_pg.C_10050.5	bden_t_33878	estExt_fgenesh1_pg.C_10050.5	146731	151525	-1	yes
GLEANP3_000250	GLEANP3_000250.t1	bdenJAM81_scaffold_1	151655	152761	-1	GP3.000250.5	bden_t_84466	GP3.000250.5	151655	152761	-1	yes
GLEANP3_000260	GLEANP3_000260.t1	bdenJAM81_scaffold_1	153021	157527	-1	estExt_Genewise1Plus.C_10069.5	bden_t_18172	estExt_Genewise1Plus.C_10069.5	153021	157491	-1	yes
GLEANP3_000270	GLEANP3_000270.t1	bdenJAM81_scaffold_1	159277	163966	1	estExt_Genewise1Plus.C_10070.5	bden_t_18173	estExt_Genewise1Plus.C_10070.5	162279	163966	1	yes
GLEANP3_000280	GLEANP3_000280.t1	bdenJAM81_scaffold_1	163979	166912	-1	estExt_fgenesh1_pg.C_10055.5	bden_t_33882	estExt_fgenesh1_pg.C_10055.5	163979	166912	-1	yes
GLEANP3_000290	GLEANP3_000290.t1	bdenJAM81_scaffold_1	177895	179416	-1	estExt_Genewise1.C_10074.5	bden_t_15229	estExt_Genewise1.C_10074.5	177895	179416	-1	yes
GLEANP3_000300	GLEANP3_000300.t1	bdenJAM81_scaffold_1	187992	190502	1	fgenesh1_pm.C_scaffold_1000014.5	bden_t_29076	fgenesh1_pm.C_scaffold_1000014.5	188175	190470	1	yes
GLEANP3_000310	GLEANP3_000310.t1	bdenJAM81_scaffold_1	191229	193209	1	GP3.000310.5	bden_t_84472	GP3.000310.5	191229	193209	1	yes
GLEANP3_000320	GLEANP3_000320.t1	bdenJAM81_scaffold_1	194391	195107	1	estExt_fgenesh1_kg.C_10015.5	bden_t_36333	estExt_fgenesh1_kg.C_10015.5	194391	195105	1	yes
GLEANP3_000330	GLEANP3_000330.t1	bdenJAM81_scaffold_1	207124	208971	1	estExt_fgenesh1_kg.C_10016.5	bden_t_36334	estExt_fgenesh1_kg.C_10016.5	207125	208971	1	yes
GLEANP3_000340	GLEANP3_000340.t1	bdenJAM81_scaffold_1	218616	220120	1	estExt_fgenesh1_pm.C_10020.5	bden_t_32596	estExt_fgenesh1_pm.C_10020.5	218625	220120	1	yes
GLEANP3_000350	GLEANP3_000350.t1	bdenJAM81_scaffold_1	224884	226050	-1	GP3.000350.5	bden_t_84476	GP3.000350.5	224884	226050	-1	yes
GLEANP3_000360	GLEANP3_000360.t1	bdenJAM81_scaffold_1	226176	227288	1	estExt_fgenesh1_pg.C_10076.5	bden_t_33887	estExt_fgenesh1_pg.C_10076.5	226176	227288	1	yes
GLEANP3_000370	GLEANP3_000370.t1	bdenJAM81_scaffold_1	227376	229109	-1	GP3.000370.5	bden_t_84478	GP3.000370.5	227376	229109	-1	yes
GLEANP3_000380	GLEANP3_000380.t1	bdenJAM81_scaffold_1	230202	232081	-1	fgenesh1_pg.C_scaffold_1000079.5	bden_t_21206	fgenesh1_pg.C_scaffold_1000079.5	230233	231741	-1	yes
GLEANP3_000390	GLEANP3_000390.t1	bdenJAM81_scaffold_1	232881	234328	-1	e_gw1.1.1137.1.5	bden_t_8958	e_gw1.1.1137.1.5	232974	234325	-1	yes
GLEANP3_000400	GLEANP3_000400.t1	bdenJAM81_scaffold_1	234837	239283	1	estExt_Genewise1Plus.C_10101.5	bden_t_18190	estExt_Genewise1Plus.C_10101.5	234837	239283	1	yes
GLEANP3_000410	GLEANP3_000410.t1	bdenJAM81_scaffold_1	239975	242101	-1	fgenesh1_pg.C_scaffold_1000083.5	bden_t_21210	fgenesh1_pg.C_scaffold_1000083.5	239975	242101	-1	yes
GLEANP3_000420	GLEANP3_000420.t1	bdenJAM81_scaffold_1	246711	247402	1	GP3.000420.5	bden_t_84483	GP3.000420.5	246711	247402	1	yes
GLEANP3_000430	GLEANP3_000430.t1	bdenJAM81_scaffold_1	247460	248449	-1	estExt_fgenesh1_pg.C_10086.5	bden_t_33890	estExt_fgenesh1_pg.C_10086.5	247460	248449	-1	yes
GLEANP3_000440	GLEANP3_000440.t1	bdenJAM81_scaffold_1	248870	252507	-1	e_gw1.1.144.1.5	bden_t_8849	e_gw1.1.144.1.5	248930	252059	-1	yes
GLEANP3_000450	GLEANP3_000450.t1	bdenJAM81_scaffold_1	257485	259324	1	estExt_fgenesh1_pg.C_10088.5	bden_t_33892	estExt_fgenesh1_pg.C_10088.5	256645	259292	1	yes
GLEANP3_000460	GLEANP3_000460.t1	bdenJAM81_scaffold_1	267204	268399	-1	GP3.000460.5	bden_t_84487	GP3.000460.5	267204	268399	-1	yes
GLEANP3_000470	GLEANP3_000470.t1	bdenJAM81_scaffold_1	268965	269906	-1	GP3.000470.5	bden_t_84488	GP3.000470.5	268965	269906	-1	yes
GLEANP3_000480	GLEANP3_000480.t1	bdenJAM81_scaffold_1	270151	271679	-1	e_gw1.1.815.1.5	bden_t_8770	e_gw1.1.815.1.5	270151	271679	-1	yes
GLEANP3_000490	GLEANP3_000490.t1	bdenJAM81_scaffold_1	272853	275447	1	e_gw1.1.1280.1.5	bden_t_8201	e_gw1.1.1280.1.5	272984	273812	1	no
GLEANP3_000490	GLEANP3_000490.t1	bdenJAM81_scaffold_1	272853	275447	1	GP3.011790.5	bden_t_85620	GP3.011790.5	275412	279675	-1	no
GLEANP3_000500	GLEANP3_000500.t1	bdenJAM81_scaffold_1	280926	284519	-1	GP3.000500.5	bden_t_84491	GP3.000500.5	280926	284519	-1	yes
GLEANP3_000510	GLEANP3_000510.t1	bdenJAM81_scaffold_1	285291	286873	-1	estExt_fgenesh1_pm.C_10029.5	bden_t_32601	estExt_fgenesh1_pm.C_10029.5	285309	286858	-1	yes
GLEANP3_000520	GLEANP3_000520.t1	bdenJAM81_scaffold_1	286982	288964	1	GP3.000520.5	bden_t_84493	GP3.000520.5	286982	288964	1	yes
GLEANP3_000530	GLEANP3_000530.t1	bdenJAM81_scaffold_1	291885	295736	1	estExt_fgenesh1_pg.C_10101.5	bden_t_33895	estExt_fgenesh1_pg.C_10101.5	291883	295981	1	yes
GLEANP3_000540	GLEANP3_000540.t1	bdenJAM81_scaffold_1	296255	299647	-1	GP3.000540.5	bden_t_84495	GP3.000540.5	296255	299647	-1	yes
GLEANP3_000550	GLEANP3_000550.t1	bdenJAM81_scaffold_1	302207	304889	1	GP3.000550.5	bden_t_84496	GP3.000550.5	302207	304889	1	yes
GLEANP3_000560	GLEANP3_000560.t1	bdenJAM81_scaffold_1	307806	309606	1	GP3.000560.5	bden_t_84497	GP3.000560.5	307806	309606	1	yes
GLEANP3_000570	GLEANP3_000570.t1	bdenJAM81_scaffold_1	309611	311191	-1	gw1.1.672.1.5	bden_t_3368	gw1.1.672.1.5	309728	310867	-1	yes
GLEANP3_000580	GLEANP3_000580.t1	bdenJAM81_scaffold_1	317260	318560	1	e_gw1.1.1269.1.5	bden_t_8712	e_gw1.1.1269.1.5	317495	318293	1	yes
GLEANP3_000590	GLEANP3_000590.t1	bdenJAM81_scaffold_1	320448	322100	-1	estExt_fgenesh1_kg.C_10026.5	bden_t_36343	estExt_fgenesh1_kg.C_10026.5	320452	322073	-1	yes
GLEANP3_000600	GLEANP3_000600.t1	bdenJAM81_scaffold_1	324583	326217	1	estExt_fgenesh1_pm.C_10033.5	bden_t_32604	estExt_fgenesh1_pm.C_10033.5	324583	326217	1	yes
GLEANP3_000610	GLEANP3_000610.t1	bdenJAM81_scaffold_1	327165	330206	1	estExt_fgenesh1_kg.C_10028.5	bden_t_36345	estExt_fgenesh1_kg.C_10028.5	327165	330204	1	yes
GLEANP3_000620	GLEANP3_000620.t1	bdenJAM81_scaffold_1	330714	335042	1	GP3.000620.5	bden_t_84503	GP3.000620.5	330714	335042	1	yes
GLEANP3_000630	GLEANP3_000630.t1	bdenJAM81_scaffold_1	341536	343664	1	GP3.000630.5	bden_t_84504	GP3.000630.5	341536	343664	1	yes
GLEANP3_000640	GLEANP3_000640.t1	bdenJAM81_scaffold_1	348008	351193	1	estExt_fgenesh1_pg.C_10118.5	bden_t_33902	estExt_fgenesh1_pg.C_10118.5	348008	351193	1	yes
GLEANP3_000650	GLEANP3_000650.t1	bdenJAM81_scaffold_1	351672	352702	-1	GP3.000650.5	bden_t_84506	GP3.000650.5	351672	352702	-1	yes
GLEANP3_000660	GLEANP3_000660.t1	bdenJAM81_scaffold_1	356274	357440	-1	fgenesh1_pg.C_scaffold_1000122.5	bden_t_21249	fgenesh1_pg.C_scaffold_1000122.5	356274	357257	-1	yes
GLEANP3_000670	GLEANP3_000670.t1	bdenJAM81_scaffold_1	357545	359227	-1	GP3.000670.5	bden_t_84508	GP3.000670.5	357545	359227	-1	yes
GLEANP3_000680	GLEANP3_000680.t1	bdenJAM81_scaffold_1	374597	381126	1	estExt_Genewise1.C_10140.5	bden_t_15251	estExt_Genewise1.C_10140.5	376496	381126	1	yes
GLEANP3_000690	GLEANP3_000690.t1	bdenJAM81_scaffold_1	381333	383709	-1	GP3.000690.5	bden_t_84510	GP3.000690.5	381333	383709	-1	yes
GLEANP3_000700	GLEANP3_000700.t1	bdenJAM81_scaffold_1	383816	386108	1	fgenesh1_pg.C_scaffold_1000131.5	bden_t_21258	fgenesh1_pg.C_scaffold_1000131.5	383816	385908	1	yes
GLEANP3_000710	GLEANP3_000710.t1	bdenJAM81_scaffold_1	386156	390175	1	GP3.000710.5	bden_t_84512	GP3.000710.5	386156	390175	1	yes
GLEANP3_000720	GLEANP3_000720.t1	bdenJAM81_scaffold_1	394303	395743	-1	estExt_fgenesh1_pg.C_10134.5	bden_t_33907	estExt_fgenesh1_pg.C_10134.5	394303	395749	-1	yes
GLEANP3_000730	GLEANP3_000730.t1	bdenJAM81_scaffold_1	396109	397468	-1	e_gw1.1.561.1.5	bden_t_7947	e_gw1.1.561.1.5	396460	398909	-1	yes
GLEANP3_000740	GLEANP3_000740.t1	bdenJAM81_scaffold_1	399517	402303	1	estExt_fgenesh1_pg.C_10136.5	bden_t_33909	estExt_fgenesh1_pg.C_10136.5	399541	402303	1	yes
GLEANP3_000750	GLEANP3_000750.t1	bdenJAM81_scaffold_1	403193	405159	1	estExt_Genewise1.C_10156.5	bden_t_15261	estExt_Genewise1.C_10156.5	403193	405331	1	yes
GLEANP3_000760	GLEANP3_000760.t1	bdenJAM81_scaffold_1	408868	411984	1	estExt_Genewise1.C_10159.5	bden_t_15264	estExt_Genewise1.C_10159.5	408868	409874	1	yes
GLEANP3_000770	GLEANP3_000770.t1	bdenJAM81_scaffold_1	417091	422910	-1	e_gw1.1.835.1.5	bden_t_8491	e_gw1.1.835.1.5	421402	422581	-1	yes
GLEANP3_000780	GLEANP3_000780.t1	bdenJAM81_scaffold_1	425858	427119	-1	gw1.1.988.1.5	bden_t_5033	gw1.1.988.1.5	425879	427062	-1	yes
GLEANP3_000790	GLEANP3_000790.t1	bdenJAM81_scaffold_1	427359	428727	-1	estExt_Genewise1Plus.C_10165.5	bden_t_18214	estExt_Genewise1Plus.C_10165.5	427359	428725	-1	yes
GLEANP3_000800	GLEANP3_000800.t1	bdenJAM81_scaffold_1	428895	430388	1	fgenesh1_pg.C_scaffold_1000147.5	bden_t_21274	fgenesh1_pg.C_scaffold_1000147.5	428895	430388	1	yes
GLEANP3_000810	GLEANP3_000810.t1	bdenJAM81_scaffold_1	439268	441129	1	GP3.000810.5	bden_t_84522	GP3.000810.5	439268	441129	1	yes
GLEANP3_000820	GLEANP3_000820.t1	bdenJAM81_scaffold_1	441317	442931	1	estExt_fgenesh1_pg.C_10151.5	bden_t_33913	estExt_fgenesh1_pg.C_10151.5	441526	443529	1	yes
GLEANP3_000830	GLEANP3_000830.t1	bdenJAM81_scaffold_1	442937	445903	-1	estExt_fgenesh1_pg.C_10151.5	bden_t_33913	estExt_fgenesh1_pg.C_10151.5	441526	443529	1	yes
GLEANP3_000840	GLEANP3_000840.t1	bdenJAM81_scaffold_1	446334	447377	-1	GP3.000840.5	bden_t_84525	GP3.000840.5	446334	447377	-1	yes
GLEANP3_000850	GLEANP3_000850.t1	bdenJAM81_scaffold_1	447511	451554	1	estExt_Genewise1Plus.C_10167.5	bden_t_18216	estExt_Genewise1Plus.C_10167.5	451276	455374	-1	no
GLEANP3_000850	GLEANP3_000850.t1	bdenJAM81_scaffold_1	447511	451554	1	estExt_fgenesh1_pg.C_10154.5	bden_t_33915	estExt_fgenesh1_pg.C_10154.5	447513	451416	1	no
GLEANP3_000860	GLEANP3_000860.t1	bdenJAM81_scaffold_1	451276	455374	-1	estExt_Genewise1Plus.C_10167.5	bden_t_18216	estExt_Genewise1Plus.C_10167.5	451276	455374	-1	no
GLEANP3_000860	GLEANP3_000860.t1	bdenJAM81_scaffold_1	451276	455374	-1	estExt_fgenesh1_pg.C_10154.5	bden_t_33915	estExt_fgenesh1_pg.C_10154.5	447513	451416	1	no
GLEANP3_000870	GLEANP3_000870.t1	bdenJAM81_scaffold_1	456137	457205	-1	GP3.000870.5	bden_t_84528	GP3.000870.5	456137	457205	-1	yes
GLEANP3_000880	GLEANP3_000880.t1	bdenJAM81_scaffold_1	462203	463585	-1	estExt_fgenesh1_kg.C_10033.5	bden_t_36350	estExt_fgenesh1_kg.C_10033.5	462203	463585	-1	yes
GLEANP3_000890	GLEANP3_000890.t1	bdenJAM81_scaffold_1	471437	472870	-1	e_gw1.1.368.1.5	bden_t_8258	e_gw1.1.368.1.5	471437	472450	-1	yes
GLEANP3_000900	GLEANP3_000900.t1	bdenJAM81_scaffold_1	482697	483814	-1	estExt_fgenesh1_pm.C_10041.5	bden_t_32609	estExt_fgenesh1_pm.C_10041.5	482699	483812	-1	yes
GLEANP3_000910	GLEANP3_000910.t1	bdenJAM81_scaffold_1	487405	488667	1	estExt_Genewise1.C_10172.5	bden_t_15270	estExt_Genewise1.C_10172.5	487410	488673	1	yes
GLEANP3_000920	GLEANP3_000920.t1	bdenJAM81_scaffold_1	488712	491392	1	estExt_Genewise1Plus.C_10175.5	bden_t_18221	estExt_Genewise1Plus.C_10175.5	488712	491395	1	yes
GLEANP3_000930	GLEANP3_000930.t1	bdenJAM81_scaffold_1	499004	501034	1	fgenesh1_pg.C_scaffold_1000170.5	bden_t_21297	fgenesh1_pg.C_scaffold_1000170.5	499411	500812	1	yes
GLEANP3_000940	GLEANP3_000940.t1	bdenJAM81_scaffold_1	508580	511931	-1	e_gw1.1.512.1.5	bden_t_8378	e_gw1.1.512.1.5	508651	511011	-1	yes
GLEANP3_000950	GLEANP3_000950.t1	bdenJAM81_scaffold_1	512996	514228	1	GP3.000950.5	bden_t_84536	GP3.000950.5	512996	514228	1	yes
GLEANP3_000960	GLEANP3_000960.t1	bdenJAM81_scaffold_1	515628	517683	1	GP3.000960.5	bden_t_84537	GP3.000960.5	515628	517683	1	yes
GLEANP3_000970	GLEANP3_000970.t1	bdenJAM81_scaffold_1	531624	532503	-1	GP3.000970.5	bden_t_84538	GP3.000970.5	531624	532503	-1	yes
GLEANP3_000980	GLEANP3_000980.t1	bdenJAM81_scaffold_1	532695	533951	1	e_gw1.1.1008.1.5	bden_t_8530	e_gw1.1.1008.1.5	533240	533785	1	yes
GLEANP3_000990	GLEANP3_000990.t1	bdenJAM81_scaffold_1	534147	536309	1	estExt_Genewise1Plus.C_10186.5	bden_t_18227	estExt_Genewise1Plus.C_10186.5	534147	536307	1	yes
GLEANP3_001000	GLEANP3_001000.t1	bdenJAM81_scaffold_1	546501	547718	-1	e_gw1.1.1188.1.5	bden_t_8226	e_gw1.1.1188.1.5	546721	547712	-1	yes
GLEANP3_001010	GLEANP3_001010.t1	bdenJAM81_scaffold_1	552593	559002	1	estExt_fgenesh1_kg.C_10039.5	bden_t_36355	estExt_fgenesh1_kg.C_10039.5	557310	559002	1	yes
GLEANP3_001020	GLEANP3_001020.t1	bdenJAM81_scaffold_1	573527	575239	-1	estExt_fgenesh1_kg.C_10040.5	bden_t_36356	estExt_fgenesh1_kg.C_10040.5	574322	575214	-1	yes
GLEANP3_001030	GLEANP3_001030.t1	bdenJAM81_scaffold_1	579707	580992	1	GP3.001030.5	bden_t_84544	GP3.001030.5	579707	580992	1	yes
GLEANP3_001040	GLEANP3_001040.t1	bdenJAM81_scaffold_1	583112	584329	1	GP3.001040.5	bden_t_84545	GP3.001040.5	583112	584329	1	yes
GLEANP3_001050	GLEANP3_001050.t1	bdenJAM81_scaffold_1	589911	591738	1	estExt_Genewise1.C_10204.5	bden_t_15282	estExt_Genewise1.C_10204.5	589902	593410	1	yes
GLEANP3_001060	GLEANP3_001060.t1	bdenJAM81_scaffold_1	591946	593413	1	estExt_Genewise1.C_10204.5	bden_t_15282	estExt_Genewise1.C_10204.5	589902	593410	1	yes
GLEANP3_001070	GLEANP3_001070.t1	bdenJAM81_scaffold_1	595695	596912	-1	GP3.001070.5	bden_t_84548	GP3.001070.5	595695	596912	-1	yes
GLEANP3_001080	GLEANP3_001080.t1	bdenJAM81_scaffold_1	598329	599277	1	GP3.001080.5	bden_t_84549	GP3.001080.5	598329	599277	1	yes
GLEANP3_001090	GLEANP3_001090.t1	bdenJAM81_scaffold_1	598956	601046	-1	GP3.001080.5	bden_t_84549	GP3.001080.5	598329	599277	1	no
GLEANP3_001090	GLEANP3_001090.t1	bdenJAM81_scaffold_1	598956	601046	-1	fgenesh1_pg.C_scaffold_1000203.5	bden_t_21330	fgenesh1_pg.C_scaffold_1000203.5	599380	601046	-1	no
GLEANP3_001100	GLEANP3_001100.t1	bdenJAM81_scaffold_1	601139	602879	1	GP3.001110.5	bden_t_84552	GP3.001110.5	602734	606445	-1	yes
GLEANP3_001110	GLEANP3_001110.t1	bdenJAM81_scaffold_1	602734	606445	-1	GP3.001110.5	bden_t_84552	GP3.001110.5	602734	606445	-1	yes
GLEANP3_001120	bdenJAM81_scaffold_1	606723	612134	1					NO_MATCH
GLEANP3_001130	GLEANP3_001130.t1	bdenJAM81_scaffold_1	613761	615809	1	fgenesh1_pm.C_scaffold_1000053.5	bden_t_29115	fgenesh1_pm.C_scaffold_1000053.5	614175	617435	1	yes
GLEANP3_001140	GLEANP3_001140.t1	bdenJAM81_scaffold_1	617745	620064	1	e_gw1.1.444.1.5	bden_t_8861	e_gw1.1.444.1.5	618029	620032	1	yes
GLEANP3_001150	GLEANP3_001150.t1	bdenJAM81_scaffold_1	621749	622842	1	fgenesh1_pg.C_scaffold_1000211.5	bden_t_21338	fgenesh1_pg.C_scaffold_1000211.5	621749	622366	1	yes
GLEANP3_001160	GLEANP3_001160.t1	bdenJAM81_scaffold_1	629020	633665	-1	estExt_fgenesh1_pg.C_10213.5	bden_t_33931	estExt_fgenesh1_pg.C_10213.5	629037	633764	-1	yes
GLEANP3_001170	GLEANP3_001170.t1	bdenJAM81_scaffold_1	633882	636071	-1	estExt_fgenesh1_pg.C_10214.5	bden_t_33932	estExt_fgenesh1_pg.C_10214.5	633889	636071	-1	yes
GLEANP3_001180	GLEANP3_001180.t1	bdenJAM81_scaffold_1	636501	639218	1	GP3.001180.5	bden_t_84559	GP3.001180.5	636501	639218	1	yes
GLEANP3_001190	GLEANP3_001190.t1	bdenJAM81_scaffold_1	646542	648404	1	estExt_Genewise1.C_10222.5	bden_t_15293	estExt_Genewise1.C_10222.5	646542	648407	1	yes
GLEANP3_001200	GLEANP3_001200.t1	bdenJAM81_scaffold_1	651168	656132	-1	estExt_fgenesh1_pg.C_10220.5	bden_t_33935	estExt_fgenesh1_pg.C_10220.5	651170	657406	-1	yes
GLEANP3_001210	GLEANP3_001210.t1	bdenJAM81_scaffold_1	664068	666185	-1	estExt_fgenesh1_pg.C_10222.5	bden_t_33936	estExt_fgenesh1_pg.C_10222.5	664070	666180	-1	yes
GLEANP3_001220	GLEANP3_001220.t1	bdenJAM81_scaffold_1	666824	667866	1	GP3.001220.5	bden_t_84563	GP3.001220.5	666824	667866	1	yes
GLEANP3_001230	GLEANP3_001230.t1	bdenJAM81_scaffold_1	675768	677382	1	fgenesh1_pg.C_scaffold_1000227.5	bden_t_21354	fgenesh1_pg.C_scaffold_1000227.5	675186	677135	1	yes
GLEANP3_001240	GLEANP3_001240.t1	bdenJAM81_scaffold_1	678107	679495	-1	GP3.001240.5	bden_t_84565	GP3.001240.5	678107	679495	-1	yes
GLEANP3_001250	GLEANP3_001250.t1	bdenJAM81_scaffold_1	680109	681893	1	estExt_fgenesh1_pg.C_10228.5	bden_t_33939	estExt_fgenesh1_pg.C_10228.5	680076	681161	1	yes
GLEANP3_001260	GLEANP3_001260.t1	bdenJAM81_scaffold_1	684333	690348	-1	gw1.1.489.1.5	bden_t_2631	gw1.1.489.1.5	687977	688807	-1	no
GLEANP3_001260	GLEANP3_001260.t1	bdenJAM81_scaffold_1	684333	690348	-1	gw1.1.112.1.5	bden_t_599	gw1.1.112.1.5	684957	686937	-1	no
GLEANP3_001270	GLEANP3_001270.t1	bdenJAM81_scaffold_1	690506	693019	1	estExt_fgenesh1_pg.C_10231.5	bden_t_33940	estExt_fgenesh1_pg.C_10231.5	690506	693013	1	yes
GLEANP3_001280	GLEANP3_001280.t1	bdenJAM81_scaffold_1	712319	714247	1	estExt_fgenesh1_pg.C_10241.5	bden_t_33943	estExt_fgenesh1_pg.C_10241.5	712319	714247	1	yes
GLEANP3_001290	GLEANP3_001290.t1	bdenJAM81_scaffold_1	719174	722088	1	GP3.001290.5	bden_t_84570	GP3.001290.5	719174	722088	1	yes
GLEANP3_001300	GLEANP3_001300.t1	bdenJAM81_scaffold_1	723816	725085	-1	e_gw1.1.1302.1.5	bden_t_8283	e_gw1.1.1302.1.5	724275	724916	-1	yes
GLEANP3_001310	GLEANP3_001310.t1	bdenJAM81_scaffold_1	727587	728445	1	fgenesh1_pg.C_scaffold_1000249.5	bden_t_21376	fgenesh1_pg.C_scaffold_1000249.5	727602	727988	1	no
GLEANP3_001310	GLEANP3_001310.t1	bdenJAM81_scaffold_1	727587	728445	1	e_gw1.1.1190.1.5	bden_t_8262	e_gw1.1.1190.1.5	728254	729394	-1	no
GLEANP3_001320	GLEANP3_001320.t1	bdenJAM81_scaffold_1	729976	735088	1	fgenesh1_pg.C_scaffold_1000251.5	bden_t_21378	fgenesh1_pg.C_scaffold_1000251.5	729976	735088	1	yes
GLEANP3_001330	GLEANP3_001330.t1	bdenJAM81_scaffold_1	735141	739638	1	estExt_fgenesh1_kg.C_10050.5	bden_t_36365	estExt_fgenesh1_kg.C_10050.5	738118	738882	-1	yes
GLEANP3_001340	GLEANP3_001340.t1	bdenJAM81_scaffold_1	741131	746388	-1	estExt_fgenesh1_pg.C_10251.5	bden_t_33946	estExt_fgenesh1_pg.C_10251.5	741131	746388	-1	yes
